Date,Open,High,Low,Close,Adj Close,Volume
2024-04-06,0.574841,0.588323,0.573283,0.584338,0.584338,255666150
2024-04-07,0.584379,0.595882,0.582689,0.589474,0.589474,307767311
2024-04-08,0.589472,0.615812,0.580352,0.614159,0.614159,442630355
2024-04-09,0.614159,0.623213,0.591362,0.591893,0.591893,510684784
2024-04-10,0.591894,0.593438,0.564811,0.586255,0.586255,504006711
2024-04-11,0.586254,0.593882,0.577351,0.586191,0.586191,341309183
2024-04-12,0.586191,0.591456,0.461193,0.503575,0.503575,1135242920
2024-04-13,0.503579,0.515500,0.409073,0.447908,0.447908,1242820013
2024-04-14,0.447910,0.477274,0.438270,0.468911,0.468911,961018766
2024-04-15,0.468911,0.494594,0.442137,0.460795,0.460795,718712831
2024-04-16,0.460793,0.476847,0.440479,0.458605,0.458605,518202801
2024-04-17,0.458607,0.464268,0.430911,0.444295,0.444295,486409083
2024-04-18,0.444299,0.459905,0.436422,0.458144,0.458144,409488158
2024-04-19,0.458143,0.475262,0.425702,0.468784,0.468784,598092967
2024-04-20,0.468784,0.507407,0.466775,0.505908,0.505908,536707766
2024-04-21,0.505908,0.512266,0.491571,0.499292,0.499292,354417377
2024-04-22,0.499290,0.521807,0.496845,0.516885,0.516885,402921410
2024-04-23,0.516885,0.520421,0.498599,0.500196,0.500196,403597295
2024-04-24,0.500196,0.509840,0.470685,0.474910,0.474910,496433039
2024-04-25,0.474901,0.479233,0.463569,0.471020,0.471020,348258880
2024-04-26,0.471020,0.478150,0.462235,0.462729,0.462729,317917276
2024-04-27,0.462729,0.468935,0.450886,0.467032,0.467032,313367220
2024-04-28,0.467032,0.477335,0.459919,0.460474,0.460474,250671885
2024-04-29,0.460482,0.463061,0.448116,0.457365,0.457365,301014261
2024-04-30,0.457363,0.462385,0.427744,0.440812,0.440812,409016669
2024-05-01,0.440815,0.456083,0.419504,0.449866,0.449866,526114091
2024-05-02,0.449866,0.461007,0.440861,0.458282,0.458282,357372995
2024-05-03,0.458284,0.472815,0.447367,0.467544,0.467544,331867585
2024-05-04,0.467544,0.474552,0.463367,0.463577,0.463577,245730966
2024-05-05,0.463577,0.465201,0.453556,0.458334,0.458334,239700527
2024-05-06,0.458334,0.474644,0.453099,0.454288,0.454288,351154325
2024-05-07,0.454289,0.455711,0.441812,0.441873,0.441873,307476823
2024-05-08,0.441873,0.467473,0.438005,0.452553,0.452553,505082625
2024-05-09,0.452553,0.464136,0.448433,0.463501,0.463501,318406873
2024-05-10,0.463503,0.467699,0.444465,0.448250,0.448250,309333437
2024-05-11,0.448250,0.450547,0.438543,0.438876,0.438876,188484210
2024-05-12,0.438876,0.442564,0.435251,0.437653,0.437653,158134071
2024-05-13,0.437653,0.452145,0.426159,0.436540,0.436540,378773938
2024-05-14,0.436544,0.437814,0.426998,0.428069,0.428069,313435137
2024-05-15,0.428069,0.454588,0.426750,0.452988,0.452988,357450532
2024-05-16,0.452996,0.461976,0.449552,0.459695,0.459695,367462393
2024-05-17,0.459696,0.489945,0.455974,0.482000,0.482000,447612110
2024-05-18,0.482000,0.485514,0.476550,0.482408,0.482408,240076401
2024-05-19,0.482408,0.483018,0.465600,0.467602,0.467602,250323995
2024-05-20,0.467602,0.501758,0.462214,0.501758,0.501758,541119800
2024-05-21,0.501749,0.508968,0.491106,0.494774,0.494774,554313310
2024-05-22,0.494774,0.494924,0.476096,0.483127,0.483127,416480856
2024-05-23,0.483130,0.487635,0.448582,0.465330,0.465330,612724804
2024-05-24,0.465330,0.468916,0.455533,0.459494,0.459494,355406774
2024-05-25,0.459498,0.464271,0.458134,0.462072,0.462072,238476411
2024-05-26,0.462072,0.462364,0.456430,0.458375,0.458375,225636000
2024-05-27,0.458375,0.473999,0.457198,0.467963,0.467963,323304261
2024-05-28,0.467963,0.468437,0.453115,0.456990,0.456990,418594476
2024-05-29,0.456990,0.463107,0.450914,0.450995,0.450995,350482630
2024-05-30,0.450995,0.454546,0.443807,0.446581,0.446581,356151973
2024-05-31,0.446581,0.454957,0.444461,0.447461,0.447461,290913148
2024-06-01,0.447461,0.452584,0.445254,0.449975,0.449975,167918462
2024-06-02,0.449976,0.453255,0.442422,0.446494,0.446494,253094562
2024-06-03,0.446495,0.462357,0.444445,0.457036,0.457036,317221002
2024-06-04,0.457038,0.465180,0.453111,0.461485,0.461485,309168258
2024-06-05,0.461485,0.464712,0.457757,0.461175,0.461175,300839736
2024-06-06,0.461175,0.461865,0.452339,0.458102,0.458102,281512944
2024-06-07,0.458100,0.488436,0.434423,0.449643,0.449643,864294102
2024-06-08,0.449639,0.449639,0.433454,0.436571,0.436571,384756660
2024-06-09,0.436556,0.445719,0.433257,0.444106,0.444106,331925354
2024-06-10,0.444101,0.450088,0.436027,0.440461,0.440461,477499641
2024-06-11,0.440465,0.440938,0.414531,0.421891,0.421891,600659902
2024-06-12,0.421901,0.443805,0.415993,0.437796,0.437796,451504328
2024-06-13,0.437818,0.438643,0.419753,0.421185,0.421185,385849589
2024-06-14,0.421178,0.424121,0.403410,0.411683,0.411683,370827765
2024-06-15,0.411686,0.415051,0.408905,0.413695,0.413695,209246354
2024-06-16,0.413724,0.418128,0.410105,0.416379,0.416379,172902870
2024-06-17,0.416388,0.419987,0.393655,0.401758,0.401758,385694374
2024-06-18,0.401726,0.402216,0.366577,0.383580,0.383580,593952964
2024-06-19,0.383565,0.397249,0.380962,0.383791,0.383791,295424813
2024-06-20,0.383791,0.396790,0.379014,0.384244,0.384244,286206619
2024-06-21,0.384248,0.390342,0.374608,0.376052,0.376052,272257203
2024-06-22,0.376051,0.389592,0.371937,0.384812,0.384812,241766850
2024-06-23,0.384794,0.392295,0.380303,0.380303,0.380303,202392727
2024-06-24,0.380225,0.380900,0.366663,0.377765,0.377765,385357807
2024-06-25,0.377755,0.396734,0.377367,0.391859,0.391859,262214296
2024-06-26,0.391861,0.394534,0.383733,0.384750,0.384750,258516129
2024-06-27,0.384751,0.393204,0.378069,0.390701,0.390701,254822331
2024-06-28,0.390709,0.395171,0.385192,0.385426,0.385426,296816495
2024-06-29,0.385415,0.402024,0.383795,0.383965,0.383965,230567794
2024-06-30,0.383968,0.393233,0.379194,0.392192,0.392192,194815973
2024-07-01,0.392135,0.407562,0.391472,0.402907,0.402907,256575826
2024-07-02,0.402877,0.418783,0.402850,0.417775,0.417775,260819618
2024-07-03,0.417784,0.421910,0.401298,0.406738,0.406738,391834481
2024-07-04,0.406721,0.412632,0.362859,0.362859,0.362859,575895856
2024-07-05,0.362713,0.362713,0.320955,0.349885,0.349885,772752357
2024-07-06,0.349908,0.372936,0.348542,0.371221,0.371221,288462471
2024-07-07,0.371184,0.371184,0.345893,0.346618,0.346618,254988837
